actor_name,acting_credits,avg_rating
Udo Kier,20,5.57
Frank Grillo,21,5.56
Bruce Willis,85,5.54
Thomas Jane,33,5.54
Tom Sizemore,20,5.50
Michael Madsen,24,5.50
Stephen Dorff,27,5.45
Scott Adkins,25,5.37
Jean-Claude Van Damme,44,5.36
Harry Carey,21,5.30
Riteish Deshmukh,22,5.12
Danny Trejo,23,5.02
Dolph Lundgren,27,4.95
Steven Seagal,27,4.50
